Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
April 30 2020,Mason,WA,Truck,0,0,0,20531,20531,0.00
April 30 2020,Middlesex,MA,Passenger,1,1,2,101,103,1.94
April 30 2020,Monroe,IL,Passenger,1,0,1,4,5,20.00
April 30 2020,Moore,NC,Passenger,0,1,1,164,165,0.61
April 30 2020,Osceola,FL,Passenger,1,0,1,41,42,2.38
April 30 2020,Pend Oreille,WA,Passenger,8,6,14,9256,9270,0.15
April 30 2020,Pima,AZ,Passenger,3,1,4,355,359,1.11
April 30 2020,Putnam,TN,Passenger,0,1,1,3,4,25.00
February 29 2020,Valencia,NM,Passenger,1,0,1,5,6,16.67
February 29 2020,Ventura,CA,Passenger,0,3,3,300,303,0.99
February 29 2020,Yakima,WA,Passenger,122,116,238,165963,166201,0.14
March 31 2020,Ada,ID,Passenger,0,1,1,286,287,0.35
March 31 2020,Albemarle,VA,Passenger,1,0,1,22,23,4.35
March 31 2020,Benton,WA,Passenger,344,319,663,135172,135835,0.49
March 31 2020,Calvert,MD,Passenger,0,2,2,90,92,2.17
May 31 2020,Osceola,FL,Passenger,1,0,1,39,40,2.50
May 31 2020,Owyhee,ID,Passenger,1,0,1,3,4,25.00
May 31 2020,Palm Beach,FL,Passenger,0,1,1,76,77,1.30
May 31 2020,Penobscot,ME,Passenger,0,1,1,15,16,6.25
May 31 2020,Queens,NY,Passenger,1,0,1,51,52,1.92
April 30 2020,Tuolumne,CA,Passenger,0,1,1,10,11,9.09
April 30 2020,Valencia,NM,Passenger,1,0,1,5,6,16.67
April 30 2020,Washtenaw,MI,Passenger,1,0,1,36,37,2.70
April 30 2020,Yakima,WA,Passenger,129,115,244,165267,165511,0.15
May 31 2020,,,Passenger,5,1,6,401,407,1.47
May 31 2020,Albemarle,VA,Passenger,1,0,1,21,22,4.55
May 31 2020,Asotin,WA,Truck,0,0,0,6585,6585,0.00
April 30 2020,Travis,TX,Passenger,2,1,3,184,187,1.60
April 30 2020,Ventura,CA,Passenger,0,3,3,293,296,1.01
April 30 2020,Whitman,WA,Passenger,44,48,92,22313,22405,0.41
April 30 2020,Wilson,TX,Passenger,0,1,1,7,8,12.50
May 31 2020,Benton,WA,Truck,0,0,0,42473,42473,0.00
May 31 2020,Broward,FL,Passenger,2,1,3,113,116,2.59
May 31 2020,Whitman,WA,Passenger,45,48,93,22175,22268,0.42
May 31 2020,Yakima,WA,Truck,0,0,0,59574,59574,0.00
June 30 2020,,,Passenger,5,1,6,400,406,1.48
June 30 2020,Brevard,FL,Passenger,0,1,1,82,83,1.20
June 30 2020,Camden,NJ,Passenger,0,1,1,21,22,4.55
March 31 2020,Cascade,MT,Passenger,0,1,1,56,57,1.75
March 31 2020,Cowlitz,WA,Truck,0,0,0,28852,28852,0.00
March 31 2020,Dakota,MN,Passenger,0,1,1,32,33,3.03
March 31 2020,DeKalb,IN,Passenger,1,0,1,1,2,50.00
March 31 2020,Fulton,GA,Passenger,1,2,3,106,109,2.75
May 31 2020,Richland,SC,Passenger,0,1,1,160,161,0.62
